scope,bin_left_minutes,bin_right_minutes,bin_centre_minutes,events,at_risk,hazard
Copilot,71.05305358491286,85.91652466561247,78.13214083138418,7,115,0.06086956521739131
Copilot,85.91652466561247,103.88926074507513,94.4764744965459,2,108,0.018518518518518517
Copilot,103.88926074507513,125.62168383980286,114.23985236189984,4,106,0.03773584905660377
Copilot,125.62168383980286,151.9002766750891,138.13749864412856,2,102,0.0196078431372549
Copilot,151.9002766750891,183.67604500026437,167.03425413407356,4,100,0.04
Copilot,183.67604500026437,222.09893388872166,201.9758742410974,5,96,0.052083333333333336
Copilot,222.09893388872166,268.55944352697577,244.2268742237219,2,91,0.02197802197802198
Copilot,268.55944352697577,324.7389505419927,295.31629120163973,4,89,0.0449438202247191
Copilot,324.7389505419927,392.6705559639804,357.09301904753585,6,85,0.07058823529411765
Copilot,392.6705559639804,474.8126618741499,431.7927186936573,6,79,0.0759493670886076
Copilot,474.8126618741499,574.1379394300601,522.1187252950485,7,73,0.0958904109589041
Copilot,574.1379394300601,694.240907965436,631.339880228811,7,66,0.10606060606060606
Copilot,694.240907965436,839.4680183844309,763.4088284079197,5,59,0.0847457627118644
Copilot,839.4680183844309,1015.074948486568,923.1050620149895,3,54,0.05555555555555555
Copilot,1015.074948486568,1227.4168026412578,1116.2078873187659,6,51,0.11764705882352941
Copilot,1227.4168026412578,1484.1780990184893,1349.7055741336533,6,45,0.13333333333333333
Copilot,1484.1780990184893,1794.6508674689812,1632.0482569097016,1,39,0.02564102564102564
Copilot,1794.6508674689812,2170.070922241148,1973.4537397844642,8,38,0.21052631578947367
Copilot,2170.070922241148,2624.024479033073,2386.277272489232,1,30,0.03333333333333333
Copilot,2624.024479033073,3172.9398315948874,2885.4586790671706,3,29,0.10344827586206896
Copilot,3172.9398315948874,3836.681881348601,3489.063020710487,7,26,0.2692307692307692
Copilot,3836.681881348601,4639.271035678456,4218.9343589647015,6,19,0.3157894736842105
Copilot,4639.271035678456,5609.752491368855,5101.486278579272,4,13,0.3076923076923077
Copilot,5609.752491368855,6783.247362010815,6168.6577785294085,1,9,0.1111111111111111
Copilot,6783.247362010815,8202.223689016808,7459.069124304043,3,8,0.375
Copilot,8202.223689016808,9918.03333333333,9019.4194910274,5,5,1.0
Cursor,0.016666666666666666,0.02015069740712253,0.0183260731414391,4,533,0.0075046904315197
Cursor,0.02015069740712253,0.024363036359604875,0.02215698927203608,0,529,0.0
Cursor,0.024363036359604875,0.029455930416067314,0.026788727176419547,0,529,0.0
Cursor,0.029455930416067314,0.035613452439565756,0.03238869211523941,5,529,0.00945179584120983
Cursor,0.035613452439565756,0.043058154223958346,0.039159284053598684,0,524,0.0
Cursor,0.043058154223958346,0.05205911020057197,0.04734521301861753,2,524,0.003816793893129771
Cursor,0.05205911020057197,0.06294164261614629,0.057242343672835205,0,522,0.0
Cursor,0.06294164261614629,0.07609907967991271,0.06920838877354903,2,522,0.0038314176245210726
Cursor,0.07609907967991271,0.09200697165542568,0.08367583801261694,1,520,0.0019230769230769232
Cursor,0.09200697165542568,0.11124027871045093,0.10116758952477868,6,519,0.011560693641618497
Cursor,0.11124027871045093,0.13449415174669627,0.12231584903530765,6,513,0.011695906432748537
Cursor,0.13449415174669627,0.16260905729251776,0.14788497972034587,0,507,0.0
Cursor,0.16260905729251776,0.1966011545495386,0.17879912864418848,4,507,0.007889546351084813
Cursor,0.1966011545495386,0.23769902251312097,0.216175628277973,6,503,0.011928429423459244
Cursor,0.23769902251312097,0.2873880645978424,0.26136538033344203,6,497,0.012072434607645875
Cursor,0.2873880645978424,0.34746419568778225,0.31600168150780106,2,491,0.004073319755600814
Cursor,0.34746419568778225,0.42009875202682256,0.3820592558523363,8,489,0.016359918200409
Cursor,0.42009875202682256,0.5079169699921382,0.4619256273762502,7,481,0.014553014553014554
Cursor,0.5079169699921382,0.6140928702152466,0.5584874125112431,10,474,0.02109704641350211
Cursor,0.6140928702152466,0.7424639764547281,0.6752346513120526,5,464,0.010775862068965518
Cursor,0.7424639764547281,0.8976700155136903,0.8163869482435838,6,459,0.013071895424836602
Cursor,0.8976700155136903,1.0853206112438016,0.9870459816708395,17,453,0.037527593818984545
Cursor,1.0853206112438016,1.3121980336132266,1.1933798942139178,17,436,0.0389908256880734
Cursor,1.3121980336132266,1.5865023308136796,1.442846228402913,18,419,0.04295942720763723
Cursor,1.5865023308136796,1.9181477042352637,1.7444614652133061,20,401,0.04987531172069826
Cursor,1.9181477042352637,2.3191208382126938,2.109126907433936,11,381,0.028871391076115485
Cursor,2.3191208382126938,2.803914135682581,2.550022686295282,6,370,0.016216216216216217
Cursor,2.803914135682581,3.3900495182215917,3.0830841319700384,10,364,0.027472527472527472
Cursor,3.3900495182215917,4.098711722210688,3.7275777254417557,15,354,0.0423728813559322
Cursor,4.098711722210688,4.955513980397618,4.506797448414413,16,339,0.0471976401179941
Cursor,4.955513980397618,5.991423762945463,5.448906699491444,14,323,0.043343653250773995
Cursor,5.991423762945463,7.243882037097447,6.587956206065689,22,309,0.07119741100323625
Cursor,7.243882037097447,8.758156498946459,7.96511472238828,12,287,0.041811846689895474
Cursor,8.758156498946459,10.588977687269624,9.63015699503178,17,275,0.06181818181818182
Cursor,10.588977687269624,12.80251711361654,11.643262775398185,12,258,0.046511627906976744
Cursor,12.80251711361654,15.478778904359677,14.077191901119749,13,246,0.052845528455284556
Cursor,15.478778904359677,18.714491396010207,17.019914060487597,12,233,0.05150214592274678
Cursor,18.714491396010207,22.626603194951983,20.577788287686943,17,221,0.07692307692307693
Cursor,22.626603194951983,27.35651005995056,24.87940710558058,11,204,0.05392156862745098
Cursor,27.35651005995056,33.075165379978024,30.080244255190102,12,193,0.06217616580310881
Cursor,33.075165379978024,39.98925895574832,36.36827399512029,7,181,0.03867403314917127
Cursor,39.98925895574832,48.34868740514094,43.97076506969953,5,174,0.028735632183908046
Cursor,48.34868740514094,58.455586195953074,53.16249490075129,6,169,0.03550295857988166
Cursor,58.455586195953074,70.67524975143715,64.27568088916402,6,163,0.03680981595092025
