bin_index,bin_left_log10_minutes,bin_right_log10_minutes,bin_left_minutes,bin_right_minutes,bin_centre_minutes,count,share,cumulative_share,density_per_minute,kde_density_per_log10_minute
28,-1.0782025456620175,-1.0532043776362452,0.08352134017085268,0.08846991751640991,0.08596002603405462,0,0.0,0.029173419773095625,0.0,0.056906391301160805
29,-1.0532043776362452,-1.028206209610473,0.08846991751640991,0.09371169439270824,0.09105309370496928,0,0.0,0.029173419773095625,0.0,0.05836128082196276
30,-1.028206209610473,-1.0032080415847004,0.09371169439270824,0.09926404265408563,0.09644792185104056,0,0.0,0.029173419773095625,0.0,0.05975389772204416
31,-1.0032080415847004,-0.9782098735589281,0.09926404265408563,0.10514536342434143,0.10216238955620197,30,0.005402485143165856,0.03457590491626148,0.9185836573458793,0.06110001293390866
32,-0.9782098735589281,-0.9532117055331557,0.10514536342434143,0.11137514808018753,0.108215435226825,0,0.0,0.03457590491626148,0.0,0.062432132687801435
33,-0.9532117055331557,-0.9282135375073833,0.11137514808018753,0.11797404284792307,0.11462711935578694,23,0.004141905276427157,0.038717810192688634,0.6276665141984806,0.06378145720057597
34,-0.9282135375073833,-0.903215369481611,0.11797404284792307,0.12496391722741451,0.12141869100526206,0,0.0,0.038717810192688634,0.0,0.06518521323375631
35,-0.903215369481611,-0.8782172014558386,0.12496391722741451,0.13236793647014553,0.1286126582285699,0,0.0,0.038717810192688634,0.0,0.06668695677441842
36,-0.8782172014558386,-0.8532190334300662,0.13236793647014553,0.14021063835153746,0.13623286266446452,14,0.0025211597334773997,0.04123896992616603,0.3214657106193534,0.06831833230192269
37,-0.8532190334300662,-0.828220865404294,0.14021063835153746,0.14851801449197294,0.14430455855108118,0,0.0,0.04123896992616603,0.0,0.07011878403621312
38,-0.828220865404294,-0.8032226973785216,0.14851801449197294,0.15731759649602947,0.1528544964213996,12,0.0021609940572663426,0.04339996398343238,0.2455791714049761,0.07211852488808965
39,-0.8032226973785216,-0.7782245293527492,0.15731759649602947,0.16663854719539875,0.1619110117576019,0,0.0,0.04339996398343238,0.0,0.07434115451419694
40,-0.7782245293527492,-0.7532263613269767,0.16663854719539875,0.1765117572978811,0.1715041188981353,22,0.0039618224383216275,0.04736178642175401,0.40126994130566873,0.07680907135370833
41,-0.7532263613269767,-0.7282281933012045,0.1765117572978811,0.18696994776276085,0.18166561050869795,15,0.002701242571582928,0.050063028993336936,0.25828967072784964,0.07953690267057009
42,-0.7282281933012045,-0.7032300252754322,0.18696994776276085,0.19804777824184727,0.1924291629468076,0,0.0,0.050063028993336936,0.0,0.08253657138757219
43,-0.7032300252754322,-0.6782318572496597,0.19804777824184727,0.20978196194556586,0.20383044786914215,15,0.002701242571582928,0.05276427156491986,0.23020285345685337,0.08581213441339211
44,-0.6782318572496597,-0.6532336892238875,0.20978196194556586,0.22221138731478018,0.2159072504515321,22,0.0039618224383216275,0.05672609400324149,0.31874542230523567,0.08936150175362619
45,-0.6532336892238875,-0.628235521198115,0.22221138731478018,0.23537724690157982,0.22869959461340023,14,0.0025211597334773997,0.059247253736718894,0.19149222402502045,0.0931788013914721
46,-0.628235521198115,-0.6032373531723427,0.23537724690157982,0.24932317388615752,0.24224987566165565,0,0.0,0.059247253736718894,0.0,0.0972539321716611
47,-0.6032373531723427,-0.5782391851465702,0.24932317388615752,0.26409538668221183,0.25660300079364057,15,0.002701242571582928,0.06194849630830182,0.18285971160017647,0.1015744228377447
48,-0.5782391851465702,-0.553241017120798,0.26409538668221183,0.2797428421101104,0.27180653792477205,7,0.0012605798667386999,0.06320907617504051,0.08056133296223696,0.10611717359875251
49,-0.553241017120798,-0.5282428490950255,0.2797428421101104,0.2963173976454513,0.2879108733341106,14,0.0025211597334773997,0.06573023590851791,0.15211024682391577,0.11086716603840273
50,-0.5282428490950255,-0.5032446810692532,0.2963173976454513,0.31387398328072924,0.3049693786503123,11,0.0019809112191608138,0.06771114712767873,0.11283009466148128,0.11579893214324369
51,-0.5032446810692532,-0.47824651304348076,0.31387398328072924,0.33247078356967963,0.32303858773137395,17,0.0030614082477939853,0.07077255537547272,0.16462016046991557,0.12089114054981519
52,-0.47824651304348076,-0.4532483450177085,0.33247078356967963,0.35216943045761284,0.3421783840243716,26,0.004682153790743742,0.07545470916621647,0.2376891071443027,0.12612272484675832
53,-0.4532483450177085,-0.42825017699193624,0.35216943045761284,0.37303520753680436,0.3624521990261251,25,0.0045020709526382135,0.07995678011885467,0.21576339743071074,0.131482066623831
54,-0.42825017699193624,-0.40325200896616376,0.37303520753680436,0.3951372664038638,0.38392722250250877,9,0.0016207455429497568,0.08157752566180443,0.07333007086345648,0.13697230898521165
55,-0.40325200896616376,-0.3782538409403915,0.3951372664038638,0.4185488558361172,0.40667462516310043,38,0.006843147848010085,0.08842067350981452,0.29229744814260716,0.14259175345870462
56,-0.3782538409403915,-0.353255672914619,0.4185488558361172,0.443347564546521,0.43076979452913766,11,0.0019809112191608138,0.09040158472897533,0.07987961156742643,0.1483581453387759
57,-0.353255672914619,-0.32825750488884675,0.443347564546521,0.4696155783216224,0.4562925847764757,28,0.0050423194669547994,0.09544390419593013,0.1919566325084792,0.15429527307331564
58,-0.32825750488884675,-0.30325933686307427,0.4696155783216224,0.49743995239475497,0.48332758138155446,12,0.0021609940572663426,0.09760489825319647,0.07766550476882113,0.16044336675826829
