scheme,scheme_kind,threshold_minutes,prs,post_burst_action_prs,user_account_prs,mapped_product_prs,other_bot_prs,branch_movement_untyped_prs,no_action_within_7d_prs,user_share_all_prs,mapped_share_all_prs,user_share_post_burst_actions,mapped_share_post_burst_actions,user_minus_mapped_percentage_points_all_prs,user_minus_mapped_ci_low_pp_all_prs,user_minus_mapped_ci_high_pp_all_prs,user_minus_mapped_percentage_points_actions,user_minus_mapped_ci_low_pp_actions,user_minus_mapped_ci_high_pp_actions,user_exceeds_mapped,user_exceeds_mapped_interval_excludes_zero,modal_post_burst_action_state,user_is_modal_action_state,repositories,product
fixed_5_minutes,fixed,5,4550,2369,1199,435,471,264,2181,0.2635164835164835,0.0956043956043956,0.5061207260447447,0.18362178134233853,16.791208791208792,12.093543046357617,22.016539454040885,32.24989447024061,24.31234130028672,40.60073107193743,True,True,user_account,True,829,OpenAI_Codex
fixed_10_minutes,fixed,10,1404,849,403,96,113,237,555,0.28703703703703703,0.06837606837606838,0.4746760895170789,0.11307420494699646,21.866096866096864,15.114173449735002,29.845024573136747,36.160188457008246,27.546821250208147,46.01550901274453,True,True,user_account,True,360,Claude_Code
fixed_10_minutes,fixed,10,828,447,297,98,42,10,381,0.358695652173913,0.11835748792270531,0.6644295302013423,0.21923937360178972,24.033816425120776,16.665723981900452,31.069532868901835,44.51901565995526,31.354744178678917,57.06130781085372,True,True,user_account,True,240,Copilot
fixed_10_minutes,fixed,10,805,426,206,117,65,38,379,0.25590062111801243,0.1453416149068323,0.4835680751173709,0.2746478873239437,11.055900621118013,1.43944979327493,21.688622556788165,20.89201877934272,2.9976903041918526,38.816062116652475,True,True,user_account,True,197,Cursor
fixed_10_minutes,fixed,10,706,410,294,90,18,8,296,0.4164305949008499,0.1274787535410765,0.7170731707317073,0.21951219512195122,28.89518413597734,-1.7964071856287425,52.37047101449272,49.75609756097561,-3.646430619266055,78.11416893379129,True,False,user_account,True,66,Devin
fixed_10_minutes,fixed,10,315,95,48,32,7,8,220,0.1523809523809524,0.10158730158730159,0.5052631578947369,0.3368421052631579,5.079365079365079,-0.7167537746806038,11.184777676950995,16.842105263157894,-2.5032894736842106,44.26684881602912,True,False,user_account,True,45,Google_Jules
fixed_10_minutes,fixed,10,4550,2176,1165,394,364,253,2374,0.256043956043956,0.0865934065934066,0.5353860294117647,0.18106617647058823,16.945054945054945,12.62118743724114,21.917633285315162,35.431985294117645,27.623951873161758,43.42373417472054,True,True,user_account,True,829,OpenAI_Codex
fixed_30_minutes,fixed,30,1404,748,385,75,70,218,656,0.2742165242165242,0.053418803418803416,0.5147058823529411,0.10026737967914438,22.07977207977208,15.044878467726374,29.688052634028296,41.44385026737968,32.808419610369576,50.64127804868933,True,True,user_account,True,360,Claude_Code
fixed_30_minutes,fixed,30,828,378,268,67,29,14,450,0.32367149758454106,0.08091787439613526,0.708994708994709,0.17724867724867724,24.27536231884058,16.924736215112326,31.30836386734938,53.17460317460318,36.71232876712329,67.54164820558263,True,True,user_account,True,240,Copilot
fixed_30_minutes,fixed,30,805,365,179,104,50,32,440,0.22236024844720498,0.12919254658385093,0.4904109589041096,0.28493150684931506,9.316770186335404,0.835004803407813,18.289359989266057,20.54794520547945,1.9906058170833252,38.12389195113301,True,True,user_account,True,197,Cursor
