days_since_trigger,merged_no_edge,merged_no_edge_low,merged_no_edge_high,merged_with_edge,merged_with_edge_low,merged_with_edge_high,merged_no_reply,merged_no_reply_low,merged_no_reply_high,merged_reply_off_target,merged_reply_off_target_low,merged_reply_off_target_high,merged_reply_on_target,merged_reply_on_target_low,merged_reply_on_target_high
7.0,0.7375812380895791,0.6885996127765907,0.7829282492738324,0.7511788630664342,0.6791777261629858,0.813448242039778,0.7166104629803584,0.6663688950010155,0.7629010448106902,0.8234860137855782,0.7425560905042256,0.8879476261784645,0.7511788630664342,0.6791777261629858,0.813448242039778
7.5,0.7404923812486488,0.6918604380871879,0.7853408730171755,0.7653972137483523,0.6947420562180759,0.8264277354723901,0.7190534762305276,0.669505026781764,0.7650055862964479,0.8304081308920261,0.7535679554053522,0.8943169751434433,0.7653972137483523,0.6947420562180759,0.8264277354723901
8.0,0.7446847498876044,0.6964871840434856,0.7891809539484615,0.7653972137483523,0.6947420562180759,0.8264277354723901,0.723973730587261,0.674625581194363,0.7685773053076757,0.8304081308920261,0.7535679554053522,0.8943169751434433,0.7653972137483523,0.6947420562180759,0.8264277354723901
8.5,0.7459528719908116,0.6972282602600502,0.7905963407161358,0.7728449212484046,0.702574591834272,0.8306818975712401,0.7249666308369471,0.6758305505458139,0.7696067444907942,0.8339412948317755,0.7585557708410641,0.8972141934122843,0.7728449212484046,0.702574591834272,0.8306818975712401
9.0,0.7463893790836109,0.6976928886448023,0.7909478735581424,0.7840164824984831,0.7130474709577606,0.8406517858062653,0.7254807119008033,0.6762884130666242,0.7705081346215444,0.8339412948317755,0.7585557708410641,0.8972141934122843,0.7840164824984831,0.7130474709577606,0.8406517858062653
9.5,0.7490357507801297,0.7014950247250145,0.7925131322882376,0.7840164824984831,0.7130474709577606,0.8406517858062653,0.7285943522195087,0.6801984625055946,0.7730934244359607,0.8339412948317755,0.7585557708410641,0.8972141934122843,0.7840164824984831,0.7130474709577606,0.8406517858062653
10.0,0.7512645629401641,0.7042076328514237,0.7940708983634267,0.7840164824984831,0.7130474709577606,0.8406517858062653,0.7306861105839055,0.6825329540573571,0.7747729749066816,0.8377153563128715,0.762488388751722,0.8993953625961263,0.7840164824984831,0.7130474709577606,0.8406517858062653
10.5,0.7535176013193293,0.7066388040043667,0.796372627083174,0.7877403362485093,0.7164390503484278,0.8450635717818689,0.7333316301263033,0.6851112378892993,0.7760507899846131,0.8377153563128715,0.762488388751722,0.8993953625961263,0.7877403362485093,0.7164390503484278,0.8450635717818689
11.0,0.7562311690112266,0.708672035094723,0.7986366783359655,0.7951880437485616,0.726985246233232,0.8508101491883864,0.7365189014793754,0.6887914203966841,0.7793454289635051,0.8377153563128715,0.762488388751722,0.8993953625961263,0.7951880437485616,0.726985246233232,0.8508101491883864
11.5,0.75940878878203,0.7130915905518673,0.8014287138207621,0.7951880437485616,0.726985246233232,0.8508101491883864,0.7391857142174385,0.6918348563167057,0.781291110662864,0.8452634792750635,0.771592757915396,0.9048153754981022,0.7951880437485616,0.726985246233232,0.8508101491883864
12.0,0.7621479676573768,0.7157358645094256,0.8041277272518355,0.7951880437485616,0.726985246233232,0.8508101491883864,0.7418689887625265,0.6944627442873154,0.7839502355651914,0.8490375407561596,0.7760228004628733,0.9078814090725433,0.7951880437485616,0.726985246233232,0.8508101491883864
12.5,0.764439413055668,0.7182809368025683,0.8058446201027475,0.7951880437485616,0.726985246233232,0.8508101491883864,0.7440245713198332,0.6963913391360134,0.786204094881276,0.8528116022372556,0.7812499270037586,0.9100108903856763,0.7951880437485616,0.726985246233232,0.8508101491883864
13.0,0.7653649949297125,0.7191664424659104,0.8063264360801803,0.7991267352149354,0.7328997957763288,0.8535639810317952,0.7440245713198332,0.6963913391360134,0.786204094881276,0.8603597251994477,0.791192768358022,0.9164239964987113,0.7991267352149354,0.7328997957763288,0.8535639810317952
13.5,0.7677019969722453,0.721823140121679,0.8083661421475082,0.7991267352149354,0.7328997957763288,0.8535639810317952,0.745676025698415,0.6981858596665704,0.7884422750621934,0.8679078481616397,0.8014048717006867,0.9222307280824563,0.7991267352149354,0.7328997957763288,0.8535639810317952
14.0,0.7695829524623485,0.7238887766161534,0.8100330398146594,0.803226189598304,0.734366103514992,0.8576372729900137,0.7478923566291478,0.7011655255074187,0.7907036024399543,0.8679078481616397,0.8014048717006867,0.9222307280824563,0.803226189598304,0.734366103514992,0.8576372729900137
14.5,0.7695829524623485,0.7238887766161534,0.8100330398146594,0.803226189598304,0.734366103514992,0.8576372729900137,0.7478923566291478,0.7011655255074187,0.7907036024399543,0.8679078481616397,0.8014048717006867,0.9222307280824563,0.803226189598304,0.734366103514992,0.8576372729900137
15.0,0.7705331258542564,0.7249791799028962,0.811113991997886,0.803226189598304,0.734366103514992,0.8576372729900137,0.7484501169020921,0.7015305984167349,0.7907685165769076,0.87191064064159,0.8073770645068739,0.9233269138184556,0.803226189598304,0.734366103514992,0.8576372729900137
15.5,0.7724533507425053,0.726579422012331,0.8131146353253739,0.803226189598304,0.734366103514992,0.8576372729900137,0.750706169665302,0.7031207076590643,0.7941199704273799,0.87191064064159,0.8073770645068739,0.9233269138184556,0.803226189598304,0.734366103514992,0.8576372729900137
16.0,0.77582798325268,0.7305025346654361,0.8161594429696392,0.8074128664153615,0.7368210635669038,0.8632253779569963,0.7540979224589713,0.7068427572887648,0.7968098150105127,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8074128664153615,0.7368210635669038,0.8632253779569963
16.5,0.77582798325268,0.7305025346654361,0.8161594429696392,0.8074128664153615,0.7368210635669038,0.8632253779569963,0.7540979224589713,0.7068427572887648,0.7968098150105127,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8074128664153615,0.7368210635669038,0.8632253779569963
17.0,0.7768005299630805,0.7316577836311488,0.8171774155083613,0.8074128664153615,0.7368210635669038,0.8632253779569963,0.7552363580031428,0.7085364263312937,0.7985899522647376,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8074128664153615,0.7368210635669038,0.8632253779569963
17.5,0.7772921587517081,0.7323343295277602,0.8174063805667658,0.8157862200494761,0.7463123519096656,0.8703033559643777,0.7558122724549001,0.7092340581919818,0.7985899522647376,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8157862200494761,0.7463123519096656,0.8703033559643777
18.0,0.7782819713794783,0.7328018029126597,0.8187416830637184,0.8157862200494761,0.7463123519096656,0.8703033559643777,0.7569723091653281,0.7100936006899873,0.7998048809944295,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8157862200494761,0.7463123519096656,0.8703033559643777
18.5,0.7822589763771558,0.737393645573438,0.8214409094339742,0.8199728968665335,0.752486171229531,0.873937207791078,0.7616347109079598,0.7151633657320778,0.8033418494103127,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8199728968665335,0.752486171229531,0.873937207791078
19.0,0.783257788412123,0.7394745100430004,0.8227928830823111,0.8199728968665335,0.752486171229531,0.873937207791078,0.7628060391098862,0.7167371330253082,0.8041352098576435,0.8760425554596032,0.8129297936644123,0.9273772403645408,0.8199728968665335,0.752486171229531,0.873937207791078
19.5,0.7852693170579501,0.7415412495214015,0.8236523610384267,0.8241595736835908,0.7569880353318006,0.8766289186845296,0.7645761432956334,0.718317212853716,0.8053291415294493,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8241595736835908,0.7569880353318006,0.8766289186845296
20.0,0.7867850630551881,0.7427339878466949,0.8247909971205856,0.8283462505006483,0.7624973572951675,0.8785555390947992,0.76635516488282,0.72003545294611,0.8070937181952966,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8283462505006483,0.7624973572951675,0.8785555390947992
20.5,0.7898309907258283,0.7455649368020242,0.8271842095167401,0.8283462505006483,0.7624973572951675,0.8785555390947992,0.7699313613386952,0.7237135903155352,0.8096407026778312,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8283462505006483,0.7624973572951675,0.8785555390947992
21.0,0.7908512286349263,0.7468078437731315,0.8281954174378174,0.8325329273177056,0.7628463983148057,0.8865877508751752,0.7711296354983895,0.7250249295698581,0.8101898694715935,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8325329273177056,0.7628463983148057,0.8865877508751752
21.5,0.7918739610132396,0.7476616896290659,0.829020775588716,0.8325329273177056,0.7628463983148057,0.8865877508751752,0.7723310547346185,0.7263393027643564,0.811053656422913,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8325329273177056,0.7628463983148057,0.8865877508751752
22.0,0.7944434182846811,0.7503808942544293,0.8316998881189507,0.8325329273177056,0.7628463983148057,0.8865877508751752,0.7753505367673158,0.7298098185030855,0.8143706939835016,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8325329273177056,0.7628463983148057,0.8865877508751752
22.5,0.7960085699221073,0.7520336666432079,0.8331602883406447,0.8325329273177056,0.7628463983148057,0.8865877508751752,0.7771919258102067,0.7318389897401433,0.8165403197059764,0.8803169500989272,0.8182892465257954,0.9300402529366447,0.8325329273177056,0.7628463983148057,0.8865877508751752
