days_since_trigger,merged_no_edge,merged_no_edge_low,merged_no_edge_high,merged_with_edge,merged_with_edge_low,merged_with_edge_high,merged_no_reply,merged_no_reply_low,merged_no_reply_high,merged_reply_off_target,merged_reply_off_target_low,merged_reply_off_target_high,merged_reply_on_target,merged_reply_on_target_low,merged_reply_on_target_high
1.625,0.6392184256609657,0.5842519912364285,0.6892761113601208,0.5583882551885038,0.45955378752636417,0.6453876091518046,0.6284013430484354,0.5722271318866667,0.6788187405574339,0.5776668921219845,0.46438773987435555,0.6706331562925888,0.5583882551885038,0.45955378752636417,0.6453876091518046
1.75,0.6452079635162035,0.5910262147616228,0.6941400607623686,0.5736162463889001,0.47896213158910017,0.660023918675253,0.6335241241092735,0.5777136521643651,0.683757317274903,0.5985228480665779,0.48550185562555925,0.6919480515101588,0.5736162463889001,0.47896213158910017,0.660023918675253
1.875,0.6498202599904928,0.5965193793554006,0.6979904694465063,0.5736162463889001,0.47896213158910017,0.660023918675253,0.6382990540883058,0.5814735907802266,0.6866616743422385,0.6036048373315579,0.4859296914315281,0.703839891682151,0.5736162463889001,0.47896213158910017,0.660023918675253
2.0,0.6555433200927931,0.6017461745554845,0.7036669343334359,0.5887094766052223,0.493931883902701,0.6718417478824843,0.6431057111768334,0.5870826998509043,0.690188680718569,0.6244677406298969,0.508293906735942,0.7233352138466975,0.5887094766052223,0.493931883902701,0.6718417478824843
2.5,0.6674087380854214,0.6136794046346923,0.7172126978307225,0.6075760143756249,0.5157861906702821,0.689993138426277,0.6536144897831779,0.5991611960155646,0.7023474063240289,0.6595174181711065,0.5419560451205845,0.755094080504679,0.6075760143756249,0.5157861906702821,0.689993138426277
3.0,0.6827254409367507,0.6291775378390649,0.7287796761790579,0.6589212087563843,0.5810250811768188,0.7375688688610502,0.6672063112304493,0.6132149189076764,0.7133046794087589,0.70267718206491,0.596774548576584,0.7898190470931118,0.6589212087563843,0.5810250811768188,0.7375688688610502
3.5,0.6901732005391743,0.636745469350565,0.7353412402215364,0.684593805946764,0.6017138142818098,0.7584146236690598,0.6747985626852679,0.6219638077406886,0.7200043348538286,0.712116001681897,0.6034469153893796,0.7962757871672405,0.684593805946764,0.6017138142818098,0.7584146236690598
4.0,0.7003748146677625,0.6466862101011119,0.746809411989058,0.7135966743654523,0.6413151340305063,0.7822046927716005,0.6846791875970761,0.6321070160576556,0.7280845126863138,0.7303943507814591,0.6208177923476594,0.8088140608988709,0.7135966743654523,0.6413151340305063,0.7822046927716005
4.5,0.7061815043059843,0.6526916918791591,0.7518787500779741,0.717047316842977,0.6439923777612935,0.785114794308505,0.6904445470362295,0.6375371468867158,0.7354376142984878,0.7389532602804604,0.62742046411112,0.8144634221449527,0.717047316842977,0.6439923777612935,0.785114794308505
5.0,0.7128860874292033,0.6585887271741729,0.7561550936397814,0.727399244275551,0.6522826713105481,0.7962869794217564,0.6967897539783858,0.6432286035527633,0.7412206209490386,0.7515845541378574,0.6472019307902999,0.8249790831341394,0.727399244275551,0.6522826713105481,0.7962869794217564
