episode_gap_minutes,automation_state,next_transition,at_risk_prs,prs,share,repository_cluster_ci_low,repository_cluster_ci_high,repositories
1,2,branch_movement_untyped,797,56,0.07026348808030113,0.049577594379077675,0.09298998569384835,263
1,2,no_later_episode,797,200,0.25094102885821834,0.2133483750712546,0.2939306352454814,263
1,3,user_account,439,80,0.18223234624145787,0.12036913250148544,0.24285782054757385,167
1,3,another_automation,439,252,0.5740318906605922,0.5080778229615049,0.6462178122782856,167
1,3,branch_movement_untyped,439,30,0.0683371298405467,0.038378946753512284,0.10075615566360104,167
1,3,no_later_episode,439,77,0.17539863325740318,0.13870156599552574,0.2190721649484536,167
1,4,user_account,270,36,0.13333333333333333,0.09187105369866187,0.1776901103777247,123
1,4,another_automation,270,164,0.6074074074074074,0.5335399201133275,0.6822060668175977,123
1,4,branch_movement_untyped,270,21,0.07777777777777778,0.03471996753246753,0.125,123
1,4,no_later_episode,270,49,0.1814814814814815,0.13333333333333333,0.23333333333333334,123
5,1,user_account,1742,449,0.25774971297359356,0.22561823856218918,0.2917633410672854,484
5,1,another_automation,1742,625,0.3587830080367394,0.31844581840457586,0.4002495890281353,484
5,1,branch_movement_untyped,1742,95,0.05453501722158439,0.037129550077069716,0.07300525939485969,484
5,1,no_later_episode,1742,573,0.32893226176808266,0.29194304059473397,0.3690171201800746,484
5,2,user_account,666,127,0.1906906906906907,0.14992252276922188,0.23120122224168466,235
5,2,another_automation,666,322,0.48348348348348347,0.43478260869565216,0.5352784161521315,235
5,2,branch_movement_untyped,666,39,0.05855855855855856,0.03565617388501525,0.08053737882177478,235
5,2,no_later_episode,666,178,0.2672672672672673,0.2338488569092718,0.3046901755136986,235
5,3,user_account,341,54,0.15835777126099707,0.11803227777212097,0.20221846828815268,146
5,3,another_automation,341,195,0.5718475073313783,0.5064485504287465,0.6387120847376022,146
5,3,branch_movement_untyped,341,21,0.06158357771260997,0.026664451827242527,0.09669627512889167,146
5,3,no_later_episode,341,71,0.20821114369501467,0.1625335743801653,0.25344448537028935,146
5,4,user_account,205,20,0.0975609756097561,0.06008369098712446,0.13705801305293688,105
5,4,another_automation,205,129,0.6292682926829268,0.5507820855614973,0.7004830917874396,105
5,4,branch_movement_untyped,205,13,0.06341463414634146,0.019997512437810946,0.11828310696095072,105
5,4,no_later_episode,205,43,0.2097560975609756,0.15318945332383183,0.2740402918781726,105
10,1,user_account,1655,411,0.24833836858006042,0.21456179395268002,0.2819768628704536,472
10,1,another_automation,1655,540,0.32628398791540786,0.29473639379539135,0.3571028094964265,472
10,1,branch_movement_untyped,1655,76,0.045921450151057405,0.030612094749612618,0.061500651375526176,472
10,1,no_later_episode,1655,628,0.3794561933534743,0.34089558729674624,0.4206572317410686,472
10,2,user_account,567,112,0.19753086419753085,0.15992130309346092,0.23388662724952344,212
10,2,another_automation,567,259,0.4567901234567901,0.4092659134183107,0.5052016983759182,212
10,2,branch_movement_untyped,567,27,0.047619047619047616,0.026565045087404072,0.06872382315659596,212
10,2,no_later_episode,567,169,0.2980599647266314,0.2582894143753684,0.342,212
10,3,user_account,267,38,0.14232209737827714,0.10424710424710425,0.1846741135478581,130
10,3,another_automation,267,156,0.5842696629213483,0.5175067670444934,0.648,130
10,3,branch_movement_untyped,267,15,0.056179775280898875,0.021501549764665367,0.09508587041373921,130
10,3,no_later_episode,267,58,0.21722846441947566,0.16733028973599764,0.2708333333333333,130
10,4,user_account,162,22,0.13580246913580246,0.08496732026143791,0.19298744019138747,84
10,4,another_automation,162,89,0.5493827160493827,0.4687445367132867,0.625,84
10,4,branch_movement_untyped,162,11,0.06790123456790123,0.024996118012422363,0.12121753246753239,84
10,4,no_later_episode,162,40,0.24691358024691357,0.18128563596491226,0.32278605601515,84
