threshold_hours,specification,term,estimate,ci_low,ci_high,p_value
6,B_route_decomposition,C(trigger_month)[T.2025-10],0.24835004734018507,-0.20713884227797552,0.7038389369583457,0.2852284520791928
6,B_route_decomposition,C(trigger_month)[T.2025-11],0.05997417099453631,-0.4037905536259301,0.5237388956150028,0.7999104216229308
6,B_route_decomposition,C(trigger_month)[T.2025-12],0.23816709887548856,-0.22621966595491275,0.7025538637058899,0.3148032919613182
6,B_route_decomposition,C(trigger_month)[T.2026-01],0.10492403516605708,-0.3529056646113342,0.5627537349434484,0.6533027819994147
6,B_route_decomposition,C(trigger_month)[T.2026-02],0.21294275770875856,-0.23828240030990636,0.6641679157274235,0.3549925782059984
6,B_route_decomposition,C(trigger_month)[T.2026-03],0.1543421102330687,-0.30065603331337326,0.6093402537795107,0.5061471955668877
6,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.automation_no_human]",0.034654309254373586,-0.05115921816915052,0.12046783667789769,0.42865369619705895
6,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.automation_then_human]",0.23199150529420348,0.125420920161714,0.33856209042669294,1.9846673719171823e-05
6,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.human_first]",0.11285392545562732,0.019412970167022592,0.20629488074423205,0.01792521390566255
6,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.movement_only]",0.27994297272979474,0.08348777767980711,0.4763981677797824,0.005223912857294681
6,B_route_decomposition,"C(ownership_route_48h, Treatment('no_observed_action'))[T.other_activity]",0.16930685707494822,0.006214052952518728,0.33239966119737774,0.04188698646485509
6,B_route_decomposition,exact_parent_reply_by_6h,0.1289582975715024,0.014496206471248427,0.24342038867175636,0.027231290653362147
6,B_route_decomposition,log1p_trigger_age_hours,0.012284857208627792,-0.007351492451510767,0.03192120686876635,0.22012752662106627
6,B_route_decomposition,log1p_pre_events,0.01678690665252571,-0.04868201410965647,0.08225582741470788,0.6152771852310381
6,B_route_decomposition,pre_user_events,0.0022852934967893773,-0.011253884610225626,0.01582447160380438,0.7407769911228629
6,B_route_decomposition,pre_bot_events,-0.002702380979548484,-0.008166023858562145,0.002761261899465177,0.33233524734522524
6,B_route_decomposition,pre_decisive_reviews,0.05344675738497502,-0.010494891623141225,0.11738840639309127,0.10136527124862925
6,B_route_decomposition,pre_force_pushes,0.011535754449337616,-0.006983906024186819,0.030055414922862053,0.22214413204967554
24,A_pretrigger_only,Intercept,0.33735366547001483,-0.15270715773955001,0.8274144886795797,0.17726554567656727
24,A_pretrigger_only,C(author_agent)[T.Copilot],-0.012738065019453414,-0.2089896376662209,0.18351350762731408,0.8987702139704302
24,A_pretrigger_only,C(author_agent)[T.Cursor],-0.2187393403420902,-0.3831220660511453,-0.05435661463303512,0.0091055021940036
24,A_pretrigger_only,C(author_agent)[T.Devin],-0.26557342541158946,-0.5138792949609243,-0.01726755586225462,0.03605888772936815
24,A_pretrigger_only,C(author_agent)[T.Google_Jules],-0.32918743229018954,-0.5564423711769224,-0.10193249340345667,0.004524346313845434
24,A_pretrigger_only,C(author_agent)[T.OpenAI_Codex],-0.19119651743161659,-0.33410538899091236,-0.04828764587232082,0.008735940064785487
24,A_pretrigger_only,C(trigger_reviewer_agent)[T.Copilot],0.03645891532140258,-0.1483071959544924,0.22122502659729756,0.6989418276439732
24,A_pretrigger_only,C(trigger_reviewer_agent)[T.Cursor],-0.06108854961354658,-0.282676473793517,0.16049937456642382,0.5889671264993153
24,A_pretrigger_only,C(trigger_reviewer_agent)[T.Devin],-0.24613227130529242,-0.4958449663626484,0.003580423752063605,0.0533765803200841
24,A_pretrigger_only,C(trigger_reviewer_agent)[T.OpenAI_Codex],-0.1971301567856268,-0.4148731188435569,0.020612805272303303,0.07599329353957437
24,A_pretrigger_only,C(trigger_month)[T.2025-05],0.33309652673728063,-0.16383420986621683,0.8300272633407781,0.18892056653385936
24,A_pretrigger_only,C(trigger_month)[T.2025-06],0.09376802156248731,-0.3691449124465212,0.5566809555714958,0.6913586826077078
24,A_pretrigger_only,C(trigger_month)[T.2025-07],0.15225424237049118,-0.31308998414763395,0.6175984688886162,0.5213451279946322
24,A_pretrigger_only,C(trigger_month)[T.2025-08],0.21835916215216722,-0.2673681297477847,0.7040864540521191,0.3782617177297516
24,A_pretrigger_only,C(trigger_month)[T.2025-09],0.12971860506257749,-0.33265691006489717,0.5920941201900521,0.5824124444688374
24,A_pretrigger_only,C(trigger_month)[T.2025-10],0.2307677173255033,-0.23260671776111433,0.694142152412121,0.32901851649317104
24,A_pretrigger_only,C(trigger_month)[T.2025-11],0.046019211463142896,-0.4285581420198341,0.5205965649461199,0.8492657049236954
24,A_pretrigger_only,C(trigger_month)[T.2025-12],0.20234780375448705,-0.26972435525711835,0.6744199627660925,0.40084449742222295
24,A_pretrigger_only,C(trigger_month)[T.2026-01],0.06977340717392545,-0.39919008752316154,0.5387369018710124,0.770586588976893
24,A_pretrigger_only,C(trigger_month)[T.2026-02],0.20143374099389744,-0.2585725517227291,0.661440033710524,0.3907514595681554
24,A_pretrigger_only,C(trigger_month)[T.2026-03],0.14579335362541465,-0.3220928859346568,0.613679593185486,0.541381795951007
