relative_path,is_parquet,remote_bytes,local_bytes,bytes_match,hub_blob_oid,hub_lfs_sha256,local_sha256,sha256_match
train-00117.parquet,True,6202597,6202597,True,4ee9eb5566589e0aa16c37122e04be1ee7955b0d,ea1af7a208fb8c060d1c11fa9011e78245447e3596294f11f5730c2bd5efaa10,ea1af7a208fb8c060d1c11fa9011e78245447e3596294f11f5730c2bd5efaa10,True
train-00118.parquet,True,5745013,5745013,True,9fee9993bd1bea735604deaa9844894270aa46c8,35f2f92ac24ce23ad0e681d40d1542002589db922d204e74da049028a252fbdc,35f2f92ac24ce23ad0e681d40d1542002589db922d204e74da049028a252fbdc,True
train-00119.parquet,True,6493834,6493834,True,8de9f7612236d984146aff481065507689a1402d,f7c581fe6066df474197a86c8d238b85845572f0251594394950dc8b77022936,f7c581fe6066df474197a86c8d238b85845572f0251594394950dc8b77022936,True
train-00120.parquet,True,6469384,6469384,True,e7a35d5b9ade3bebff3252f6837361239185fec3,bf34cd1d9cc72ec046d02870a84ad29796ef48ed1eeb53589e9c307ed3e206ad,bf34cd1d9cc72ec046d02870a84ad29796ef48ed1eeb53589e9c307ed3e206ad,True
train-00121.parquet,True,5912514,5912514,True,4df6d0a4a235bcbd04645f9ecb89b0ca97c3b5e5,666a9ca87b7cf53ada115ac0cf772419f6d275ac9fcdef6960913c61d9718632,666a9ca87b7cf53ada115ac0cf772419f6d275ac9fcdef6960913c61d9718632,True
train-00122.parquet,True,5927315,5927315,True,ca80a974c80fb07588e2ff2670b2d7477d164863,4a02b0ab1c1fc2e78bced50fc5f02ca8108d9e3ce7a2e100de53d49d9af020b6,4a02b0ab1c1fc2e78bced50fc5f02ca8108d9e3ce7a2e100de53d49d9af020b6,True
train-00123.parquet,True,4154248,4154248,True,d668f5f9c2f56ecfe4f592694eeceb82f4c9fe87,041f8d3938d7429c1f531a920f5a48e24981f1bd8af21b03a8751a2109ad3b70,041f8d3938d7429c1f531a920f5a48e24981f1bd8af21b03a8751a2109ad3b70,True
train-00124.parquet,True,7285774,7285774,True,879921607568afe97d2b584fa7fa3349d666fd9c,a3b8778424b483a7ba4f1b9ad584a72ef69197b40b6ce9eb2341c539f844ba83,a3b8778424b483a7ba4f1b9ad584a72ef69197b40b6ce9eb2341c539f844ba83,True
train-00125.parquet,True,6309946,6309946,True,bd9108bb7cf6153d49f884ac64d344ff96f7fd95,e4e8aeade6554f4b8c9d122d265a0610f8bdcea1231c6ae85498d28dac527bba,e4e8aeade6554f4b8c9d122d265a0610f8bdcea1231c6ae85498d28dac527bba,True
train-00126.parquet,True,6605815,6605815,True,b1fffcaaf7ab4588e5557f41ef3b834b409a08ad,c303515722d9ee140541344956c8f2e9060b81a6fda2981d726e6b47335ff2af,c303515722d9ee140541344956c8f2e9060b81a6fda2981d726e6b47335ff2af,True
train-00127.parquet,True,7366069,7366069,True,b9f59df5c15f04dd2d79973fe4f883fec538e769,2cf1ff91e4eefaff23217fafc9a4afefc3ce940188fb22c222495c4d1861a8c4,2cf1ff91e4eefaff23217fafc9a4afefc3ce940188fb22c222495c4d1861a8c4,True
train-00128.parquet,True,7064999,7064999,True,e5ef06697068814b73013bcb6c463b30e94d293e,55da6c65e1443890d1413eb6584757a0562c300e295397d4654bf2bd8c89c332,55da6c65e1443890d1413eb6584757a0562c300e295397d4654bf2bd8c89c332,True
train-00129.parquet,True,6659712,6659712,True,9aa568fd6b7fac786c74cc99b58db23ce9b55e40,a2411ac3ec4914a2b33bf6f8bba72338b01b7f3262ac9e243e54507bdfcd505a,a2411ac3ec4914a2b33bf6f8bba72338b01b7f3262ac9e243e54507bdfcd505a,True
train-00130.parquet,True,7057948,7057948,True,fa34e7aeae211c7cbfd89ecea318cb2df67b4f61,6d74d5dc174712099b9a05f5f8bbc64035eaa6e96a195bada1fff6923b3678d0,6d74d5dc174712099b9a05f5f8bbc64035eaa6e96a195bada1fff6923b3678d0,True
train-00131.parquet,True,7292969,7292969,True,b2bf3cf237ef161299338ea428ee69887d7b222f,1ca5932c964f45e8ae72957d89cc1d18800e4ae7688c4097b5de1e2cbc43f5f5,1ca5932c964f45e8ae72957d89cc1d18800e4ae7688c4097b5de1e2cbc43f5f5,True
train-00132.parquet,True,7328006,7328006,True,8193bb05916aaa1fb870f7320225fed3f314bd9a,415559f93fab0aebd9401a35b5061cdd7eb3ae5bbc49769d0a4b9b0bf835dab6,415559f93fab0aebd9401a35b5061cdd7eb3ae5bbc49769d0a4b9b0bf835dab6,True
train-00133.parquet,True,7454726,7454726,True,1bfe7ba4ded849fd229312b7075fb217e02e5fbc,8b39d19561591be02ce731b2b8b7939d8f6ef71e98734603df4f24a622442c2f,8b39d19561591be02ce731b2b8b7939d8f6ef71e98734603df4f24a622442c2f,True
train-00134.parquet,True,6383494,6383494,True,512337e25fd44baa32c00e0d1a9dd8af6987c1be,b64daa14d4ea25e2ede8d6357b29e6b0402060db53811627bdb891da02993e9e,b64daa14d4ea25e2ede8d6357b29e6b0402060db53811627bdb891da02993e9e,True
train-00135.parquet,True,6206549,6206549,True,bbe9b7ba883bf3e4e110d9227d2094abf19f541f,95736836d7f314bb6d39cd3aa7dfa63244eb1b63b3bef9e2e38b3141f1c44a72,95736836d7f314bb6d39cd3aa7dfa63244eb1b63b3bef9e2e38b3141f1c44a72,True
train-00136.parquet,True,6502094,6502094,True,e3ff9eb085b4b37e776bb7d90abf2f7c8292b9b3,d122d60382c5fd2820fb8d33d7044c76e9967201f082d48a88154632bc1bd7e1,d122d60382c5fd2820fb8d33d7044c76e9967201f082d48a88154632bc1bd7e1,True
train-00137.parquet,True,6072275,6072275,True,cea2e10ba9bd93688ba9823f8e585a70410bec8c,48fc7f63433cae7d6ea3f5a8761be8af6f441d47b20c7c440892dd4d6d6e00be,48fc7f63433cae7d6ea3f5a8761be8af6f441d47b20c7c440892dd4d6d6e00be,True
train-00138.parquet,True,6582671,6582671,True,b828987e962b768301f9810cf5cf31bf793c37f3,e58ea217c36d8d238c7e31bc424ec8d5d6f54343eeb9de21e4f7d55f6c876deb,e58ea217c36d8d238c7e31bc424ec8d5d6f54343eeb9de21e4f7d55f6c876deb,True
train-00139.parquet,True,6877187,6877187,True,8ffc93a6c3a7154844057421df5807cc573e8d03,dde1fb937800f8c248a453f175396e5fd7382f8b3f0ccae0fa315a041e98bc49,dde1fb937800f8c248a453f175396e5fd7382f8b3f0ccae0fa315a041e98bc49,True
train-00140.parquet,True,8112574,8112574,True,19dff321e11747fa55f8d1bfdf640a4f1a3cbd40,ff58f80099395f6e09bca811de09c31c71a9c089fe56ee4f837227550c7e6c7a,ff58f80099395f6e09bca811de09c31c71a9c089fe56ee4f837227550c7e6c7a,True
train-00141.parquet,True,6525661,6525661,True,681e56af1f09f00d607877bec08cc73befbd863e,7aa074b46a6b4d176870ceaa8a9d8e500dd01bf819dbbc89d49217ae792362f2,7aa074b46a6b4d176870ceaa8a9d8e500dd01bf819dbbc89d49217ae792362f2,True
train-00142.parquet,True,7210900,7210900,True,d594e642dda50e2b9490cd0dad51d4d11f0491d4,b3fde9b3033da7d9391ec6a40b250c793470443b3dcc974fe17822e4c81c4bea,b3fde9b3033da7d9391ec6a40b250c793470443b3dcc974fe17822e4c81c4bea,True
train-00143.parquet,True,8425692,8425692,True,a5b743a25bca282b9767b0047fa18b81f2f5dac4,d74037209fd1e2d307fa7429ad07994c34c4b62c772f7dd7b99aabed2093dde1,d74037209fd1e2d307fa7429ad07994c34c4b62c772f7dd7b99aabed2093dde1,True
train-00144.parquet,True,7792060,7792060,True,a03011ea514fb00bd1c263467f4857405a293980,c984f7d9c327dde00c863fe23517c2d95847d160a4c5257de963d8d2b0fe1ad8,c984f7d9c327dde00c863fe23517c2d95847d160a4c5257de963d8d2b0fe1ad8,True
train-00145.parquet,True,6221826,6221826,True,b0e6d09a0193c191ef27f1213128755f79602e3f,389e6e5410c89bf70197a5fff40d3a7bec741bf7fe03edf29da1583c8727d390,389e6e5410c89bf70197a5fff40d3a7bec741bf7fe03edf29da1583c8727d390,True
train-00146.parquet,True,6391233,6391233,True,9b1f2c82a521b838130c9614707227b3b3508381,4eb7e091774802a7514e0a4c421631df9257771751c697f282e81dda39089df4,4eb7e091774802a7514e0a4c421631df9257771751c697f282e81dda39089df4,True
train-00147.parquet,True,6286473,6286473,True,cf229f4a7c1a7e88c9b8a2af490612b1bab1203f,639bf7ec92169e25ca816c1039cb55a6bd0ea2e992d4bd88d459a12f1f755ef8,639bf7ec92169e25ca816c1039cb55a6bd0ea2e992d4bd88d459a12f1f755ef8,True
