burst_threshold_minutes,zero_minute_state,threshold_state,prs,share_all_prs,share_within_zero_minute_state,repositories
5,mapped_product,user_account,247,0.028694237918215612,0.189272030651341,103
5,other_bot,no_action_within_7d,305,0.035432156133828996,0.22442972774098602,136
5,mapped_product,no_action_within_7d,216,0.02509293680297398,0.16551724137931034,118
5,user_account,branch_movement_untyped,45,0.005227695167286246,0.01889962200755985,16
5,other_bot,mapped_product,61,0.0070864312267657995,0.044885945548197206,36
5,branch_movement_untyped,no_action_within_7d,31,0.0036013011152416356,0.0610236220472441,21
5,branch_movement_untyped,user_account,24,0.0027881040892193307,0.047244094488188976,21
5,mapped_product,branch_movement_untyped,34,0.003949814126394052,0.026053639846743294,17
5,mapped_product,other_bot,50,0.005808550185873606,0.038314176245210725,33
5,branch_movement_untyped,mapped_product,12,0.0013940520446096654,0.023622047244094488,11
5,branch_movement_untyped,other_bot,8,0.0009293680297397769,0.015748031496062992,8
10,branch_movement_untyped,branch_movement_untyped,403,0.046816914498141265,0.7933070866141733,143
10,no_action_within_7d,no_action_within_7d,3055,0.3549024163568773,1.0,767
10,user_account,user_account,1810,0.21026951672862454,0.7601847963040739,624
10,user_account,no_action_within_7d,376,0.04368029739776952,0.15791684166316675,198
10,mapped_product,mapped_product,652,0.07574349442379182,0.49961685823754787,248
10,user_account,mapped_product,95,0.011036245353159852,0.03989920201595968,68
10,other_bot,user_account,309,0.035896840148698886,0.22737306843267108,111
10,other_bot,other_bot,501,0.05820167286245353,0.3686534216335541,183
10,user_account,other_bot,53,0.006157063197026022,0.022259554808903823,40
10,other_bot,branch_movement_untyped,64,0.007434944237918215,0.047093451066961,33
10,mapped_product,user_account,262,0.030436802973977696,0.20076628352490422,118
10,other_bot,no_action_within_7d,418,0.04855947955390334,0.30757910228108903,167
10,mapped_product,no_action_within_7d,307,0.03566449814126394,0.23524904214559386,156
10,user_account,branch_movement_untyped,47,0.00546003717472119,0.019739605207895843,17
10,other_bot,mapped_product,67,0.007783457249070632,0.049300956585724795,41
10,mapped_product,other_bot,44,0.005111524163568773,0.03371647509578544,31
10,branch_movement_untyped,other_bot,11,0.0012778810408921933,0.021653543307086614,7
10,branch_movement_untyped,no_action_within_7d,49,0.005692379182156134,0.09645669291338582,30
10,branch_movement_untyped,user_account,32,0.0037174721189591076,0.06299212598425197,24
10,mapped_product,branch_movement_untyped,40,0.004646840148698885,0.03065134099616858,21
10,branch_movement_untyped,mapped_product,13,0.0015102230483271376,0.025590551181102362,11
30,branch_movement_untyped,branch_movement_untyped,310,0.036013011152416355,0.610236220472441,114
30,no_action_within_7d,no_action_within_7d,3055,0.3549024163568773,1.0,767
30,user_account,no_action_within_7d,669,0.07771840148698884,0.28097438051238977,297
30,user_account,user_account,1508,0.17518587360594795,0.6333473330533389,555
30,mapped_product,branch_movement_untyped,38,0.004414498141263941,0.029118773946360154,26
30,user_account,mapped_product,86,0.009990706319702601,0.03611927761444771,56
30,other_bot,no_action_within_7d,619,0.07190985130111524,0.4554819720382634,210
30,other_bot,user_account,338,0.03926579925650558,0.2487122884473878,125
30,mapped_product,mapped_product,494,0.057388475836431224,0.378544061302682,202
30,other_bot,other_bot,280,0.032527881040892194,0.20603384841795438,131
30,branch_movement_untyped,no_action_within_7d,118,0.01370817843866171,0.23228346456692914,56
30,user_account,branch_movement_untyped,73,0.008480483271375464,0.030659386812263753,41
30,user_account,other_bot,45,0.005227695167286246,0.01889962200755985,36
30,other_bot,branch_movement_untyped,62,0.007202602230483271,0.04562178072111847,29
30,mapped_product,no_action_within_7d,469,0.05448420074349442,0.3593869731800766,210
30,mapped_product,user_account,266,0.030901486988847583,0.20383141762452106,129
30,branch_movement_untyped,user_account,53,0.006157063197026022,0.10433070866141732,40
30,other_bot,mapped_product,60,0.006970260223048327,0.04415011037527594,43
30,mapped_product,other_bot,38,0.004414498141263941,0.029118773946360154,33
30,branch_movement_untyped,other_bot,14,0.0016263940520446097,0.027559055118110236,10
30,branch_movement_untyped,mapped_product,13,0.0015102230483271376,0.025590551181102362,11
