burst_threshold_minutes,exclusion_unit,excluded_group,excluded_group_prs,remaining_prs,first_post_burst_state,remaining_state_prs,share_all_prs,share_post_burst_actions
0,product_pair,Google_Jules -> Copilot,170,8438,branch_movement_untyped,500,0.05925574780753733,0.09164222873900293
0,product_pair,Google_Jules -> Copilot,170,8438,no_action_within_7d,2982,0.35340127992415266,
0,product_pair,Google_Jules -> Cursor,2,8606,user_account,2381,0.2766674413200093,0.42877723752926344
0,product_pair,Google_Jules -> Cursor,2,8606,mapped_product,1305,0.1516383918196607,0.23500810372771475
0,product_pair,Google_Jules -> Cursor,2,8606,other_bot,1359,0.157913083894957,0.24473257698541329
0,product_pair,Google_Jules -> Cursor,2,8606,branch_movement_untyped,508,0.05902858470834302,0.0914820817576085
0,product_pair,Google_Jules -> Cursor,2,8606,no_action_within_7d,3053,0.35475249825703,
0,product_pair,Google_Jules -> Devin,13,8595,user_account,2380,0.27690517742873766,0.4296028880866426
0,product_pair,Google_Jules -> Devin,13,8595,mapped_product,1293,0.15043630017452006,0.23339350180505417
0,product_pair,Google_Jules -> Devin,13,8595,other_bot,1359,0.1581151832460733,0.24530685920577616
0,product_pair,Google_Jules -> Devin,13,8595,branch_movement_untyped,508,0.05910413030831879,0.09169675090252707
0,product_pair,Google_Jules -> Devin,13,8595,no_action_within_7d,3055,0.3554392088423502,
0,product_pair,Google_Jules -> OpenAI_Codex,114,8494,user_account,2377,0.27984459618554275,0.4288291538877864
0,product_pair,Google_Jules -> OpenAI_Codex,114,8494,mapped_product,1303,0.15340240169531433,0.23507126104997295
0,product_pair,Google_Jules -> OpenAI_Codex,114,8494,other_bot,1355,0.1595243701436308,0.2444524625653978
0,product_pair,Google_Jules -> OpenAI_Codex,114,8494,branch_movement_untyped,508,0.059806922533553096,0.09164712249684287
0,product_pair,Google_Jules -> OpenAI_Codex,114,8494,no_action_within_7d,2951,0.34742170944195905,
0,product_pair,OpenAI_Codex -> Claude_Code,824,7784,user_account,2213,0.2843011305241521,0.44348697394789577
0,product_pair,OpenAI_Codex -> Claude_Code,824,7784,mapped_product,1109,0.14247173689619733,0.2222444889779559
0,product_pair,OpenAI_Codex -> Claude_Code,824,7784,other_bot,1213,0.15583247687564233,0.24308617234468938
0,product_pair,OpenAI_Codex -> Claude_Code,824,7784,branch_movement_untyped,455,0.05845323741007194,0.09118236472945891
0,product_pair,OpenAI_Codex -> Claude_Code,824,7784,no_action_within_7d,2794,0.3589414182939363,
0,product_pair,OpenAI_Codex -> Copilot,3036,5572,user_account,1646,0.29540559942569994,0.4351044144858578
0,product_pair,OpenAI_Codex -> Copilot,3036,5572,mapped_product,1075,0.1929289303661163,0.28416600581549034
0,product_pair,OpenAI_Codex -> Copilot,3036,5572,other_bot,711,0.12760229720028715,0.1879460745440127
0,product_pair,OpenAI_Codex -> Copilot,3036,5572,branch_movement_untyped,351,0.0629935391241924,0.09278350515463918
0,product_pair,OpenAI_Codex -> Copilot,3036,5572,no_action_within_7d,1789,0.32106963388370424,
0,product_pair,OpenAI_Codex -> Cursor,428,8180,user_account,2297,0.28080684596577016,0.4359460998291896
0,product_pair,OpenAI_Codex -> Cursor,428,8180,mapped_product,1202,0.1469437652811736,0.22812677927500474
0,product_pair,OpenAI_Codex -> Cursor,428,8180,other_bot,1279,0.15635696821515893,0.24274055798064148
0,product_pair,OpenAI_Codex -> Cursor,428,8180,branch_movement_untyped,491,0.06002444987775061,0.09318656291516417
0,product_pair,OpenAI_Codex -> Cursor,428,8180,no_action_within_7d,2911,0.3558679706601467,
0,product_pair,OpenAI_Codex -> Devin,262,8346,user_account,2310,0.27677929547088426,0.43056849953401677
0,product_pair,OpenAI_Codex -> Devin,262,8346,mapped_product,1218,0.14593817397555714,0.22702702702702704
0,product_pair,OpenAI_Codex -> Devin,262,8346,other_bot,1341,0.16067577282530554,0.2499534016775396
