omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
Cursor -> Copilot,user_account,layer_persistence,1416,468,0.5416666666666666,0.540650406504065,0.00101626016260159
Cursor -> Copilot,user_account,cross_layer_handoff,1416,468,0.3192090395480226,0.31910569105691056,0.00010334849111204303
Cursor -> Copilot,mapped_product,exact_owner_persistence,609,234,0.4433497536945813,0.4447900466562986,-0.0014402929617173266
Cursor -> Copilot,mapped_product,layer_persistence,609,234,0.5254515599343186,0.5334370139968896,-0.007985454062571007
Cursor -> Copilot,mapped_product,cross_layer_handoff,609,234,0.3399014778325123,0.3297045101088647,0.010196967723647588
Cursor -> Copilot,user_minus_mapped,exact_owner_persistence,2025,581,-0.1319090757284796,-0.13516945045033657,0.0032603747218569734
Cursor -> Copilot,user_minus_mapped,layer_persistence,2025,581,0.01621510673234805,0.0072133925071754534,0.009001714225172597
Cursor -> Copilot,user_minus_mapped,cross_layer_handoff,2025,581,-0.02069243828448969,-0.010598819051954145,-0.010093619232535544
Cursor -> Devin,user_account,exact_owner_persistence,1473,491,0.3102511880515954,0.30962059620596205,0.0006305918456333548
Cursor -> Devin,user_account,layer_persistence,1473,491,0.5410726408689749,0.540650406504065,0.0004222343649098459
Cursor -> Devin,user_account,cross_layer_handoff,1473,491,0.31907671418873046,0.31910569105691056,-2.897686818009726e-05
Cursor -> Devin,mapped_product,exact_owner_persistence,642,244,0.4454828660436137,0.4447900466562986,0.0006928193873150801
Cursor -> Devin,mapped_product,layer_persistence,642,244,0.5327102803738317,0.5334370139968896,-0.0007267336230578625
Cursor -> Devin,mapped_product,cross_layer_handoff,642,244,0.3302180685358255,0.3297045101088647,0.0005135584269608251
Cursor -> Devin,user_minus_mapped,exact_owner_persistence,2115,608,-0.1352316779920183,-0.13516945045033657,-6.222754168172528e-05
Cursor -> Devin,user_minus_mapped,layer_persistence,2115,608,0.008362360495143162,0.0072133925071754534,0.0011489679879677084
Cursor -> Devin,user_minus_mapped,cross_layer_handoff,2115,608,-0.011141354347095067,-0.010598819051954145,-0.0005425352951409224
