exclusion_unit,excluded_group,n_prs,automation_then_user_vs_automation_only,user_first_vs_automation_only
repository,35030133,1731,0.1331035761205333,0.07128949113214669
repository,352436122,1732,0.1329263653600371,0.0715882235702676
repository,354291352,1732,0.13263776492739482,0.0707092325136459
repository,355197825,1706,0.1350240558152437,0.074040920841282
repository,355476462,1731,0.1306865593282539,0.069531927513524
repository,357728969,1717,0.1321836196527481,0.0776572627952567
repository,35866694,1732,0.1371813583302362,0.07064820293494518
repository,359305341,1732,0.13277042177502268,0.0694153086668814
repository,35998691,1732,0.13271022258399712,0.0706606309727739
repository,365739812,1731,0.13212407288647937,0.070052863638407
repository,368236463,1732,0.1324600471021859,0.0705255244146886
repository,370740787,1729,0.1319843697932075,0.0700364887586997
repository,3729629,1731,0.1336880941318675,0.0714235244469496
repository,373383253,1732,0.1327216859404594,0.07072856497332829
repository,382038756,1732,0.1326673036156783,0.06969089852968269
repository,389984027,1732,0.1324537492807421,0.06955985826690811
repository,390115983,1731,0.1326515646388601,0.0702603791682481
repository,391740664,1730,0.1326373298104651,0.068732732619347
repository,39242894,1732,0.1310805775979674,0.07066050974565491
repository,392610935,1730,0.1297045732501983,0.0706333478175674
repository,394207324,1729,0.1355949530799438,0.0738974695890775
repository,39464018,1732,0.13250060627313098,0.0705385723849374
repository,394757291,1730,0.1337063247127524,0.0716776883344962
repository,397588892,1732,0.1326377649273941,0.0707092325136451
repository,398863403,1732,0.13262963317561627,0.0717650651007928
repository,399618999,1732,0.13305007010604608,0.07121946290642721
repository,400215964,1731,0.1289656932964084,0.06897179145274089
repository,40136600,1732,0.13262694303518102,0.07061635767448211
repository,402945349,1716,0.1328280823178572,0.060778584824293796
repository,40765298,1732,0.13282773786140012,0.06996075492642438
repository,408858330,1732,0.1327301753548738,0.0708398026115915
repository,410126981,1732,0.1328187574986192,0.07087564327477382
repository,41117523,1723,0.1232260811446739,0.06984486681749769
repository,411912097,1707,0.14379553681893992,0.0818068497857611
repository,4127088,1732,0.1327646683757924,0.07211178914878891
repository,41881900,1732,0.1327102225839964,0.0706606309727733
repository,42009758,1724,0.1339875715278499,0.0703163679981125
repository,4213474,1732,0.131316873073059,0.06939033076266449
repository,42267778,1731,0.1330065431984071,0.070722491008801
repository,424594639,1732,0.13265463241527903,0.07071174547034752
repository,426659329,1730,0.1331326984971346,0.0715483752360016
repository,428780722,1722,0.1254503704851099,0.07130611357681169
repository,430749584,1730,0.1347360831761301,0.0668457092843979
repository,43098215,1732,0.1326377649273951,0.07070923251364619
repository,432777348,1732,0.13107006405618132,0.06930486818162009
repository,437505831,1732,0.13245597056132138,0.0703804474128625
repository,440752086,1730,0.1325585388980075,0.07295854881946488
repository,44164233,1732,0.13264849158169578,0.07105915340153308
repository,442321089,1731,0.13505955937447212,0.0692769384897413
repository,446093093,1732,0.134594626545394,0.07264581234502548
repository,449554700,1731,0.1299066260227581,0.0700141275311795
repository,453068084,1731,0.1348433265642305,0.0737832754084507
repository,4542716,1730,0.12967628287935967,0.0728223917431068
repository,456549280,1732,0.1326673036156773,0.0696908985296816
repository,456882115,1731,0.13304194903303018,0.0711658700794036
repository,460615268,1732,0.1327723095349189,0.07008865134336159
repository,460848,1731,0.1342517294873315,0.07233185684824739
